Ident,Photo,Ci,Tleaf,PARi,Press
15_Sicot_1,-2.189528103,20.91789451,18.61114311,2000.895996,94.21483612
15_Sicot_1,0.71862515,44.28903193,18.30716705,2000.437134,94.2089386
15_Sicot_1,3.492486083,74.3402149,18.22595215,2000.486938,94.21975708
15_Sicot_1,9.161239584,137.1751169,18.14041138,2000.515747,94.22132111
15_Sicot_1,13.54652428,210.4256865,18.16947556,1999.634644,94.23738861
15_Sicot_1,16.16313802,297.0109043,18.13677025,2000.339966,94.23583984
15_Sicot_1,16.10063421,546.0198928,18.17024422,1999.7323,94.23389435
15_Sicot_1,15.80426415,795.7313047,18.19809341,1999.240967,94.24668884
15_Sicot_1,16.31206813,1087.3363,18.20809174,1998.825073,94.24424744
15_Sicot_1,17.38339447,1471.682757,18.35943031,1999.250122,94.26174164
15_Sicot_2,-1.590927204,25.69734687,16.52584839,2000.929932,95.25416565
15_Sicot_2,0.29963181,46.44048243,16.46142578,2000.918823,95.24652863
15_Sicot_2,2.50546591,76.94518892,16.41332817,2000.942627,95.24256134
15_Sicot_2,6.878208695,140.8953443,16.33661461,1999.963257,95.23863983
15_Sicot_2,11.14271826,209.4484076,16.46689415,1998.694336,95.23427582
15_Sicot_2,14.83946286,286.4987684,16.77371216,1998.929565,95.23897552
15_Sicot_2,18.25703493,512.8881118,16.7148304,2000.502197,95.24422455
15_Sicot_2,17.26925618,763.3036019,16.53407669,2001.03479,95.24201202
15_Sicot_2,17.322512,1048.919239,16.55854225,1999.178223,95.23159027
15_Sicot_2,18.55742153,1416.894981,16.9557972,1999.297974,95.23907471
15_Sicot_3,-1.958999149,26.12895996,20.73031425,1999.667236,95.33006287
15_Sicot_3,0.310649637,44.6083623,21.62092209,2000.144287,95.32997131
15_Sicot_3,3.046661444,62.84036896,21.54919052,2000.19812,95.33036804
15_Sicot_3,8.070344219,115.0287892,20.74328232,2000.766235,95.32885742
15_Sicot_3,12.72990213,172.729463,20.36981583,2000.5625,95.32837677
15_Sicot_3,16.18580824,224.4190625,21.38915253,2000.317383,95.32804871
15_Sicot_3,20.97720788,419.0814384,21.32847977,2000.521851,95.32826996
15_Sicot_3,19.5885307,664.7466769,21.32540321,1999.934692,95.32965088
15_Sicot_3,17.37107608,948.6568113,21.41459274,1999.427124,95.33226013
15_Sicot_3,14.15820887,1360.608654,20.59161186,1998.984741,95.33086395
15_Sicot_4,-1.3833864,30.8334983,19.26631546,2000.450684,95.29044342
15_Sicot_4,0.333412942,45.44045887,19.21866035,1999.17334,95.2925415
15_Sicot_4,2.863277941,72.65411252,19.22597694,1999.720825,95.28909302
15_Sicot_4,8.464541322,129.2161063,19.24147987,1999.817871,95.2853241
15_Sicot_4,13.65838237,196.0645663,19.22287941,1999.217407,95.28192902
15_Sicot_4,18.02293645,273.343786,19.15709877,1999.835083,95.27679443
15_Sicot_4,20.13372336,509.9503966,19.26830482,1998.848267,95.27639771
15_Sicot_4,20.4214617,743.489641,19.45207787,1999.063477,95.27349091
15_Sicot_4,21.52647996,984.3341472,19.6709137,1999.290283,95.27622986
15_Sicot_4,22.91791734,1265.587702,19.95079803,1999.787231,95.27561188
15_Sicot_5,-0.192385929,48.79386931,18.96846008,1999.194214,94.88881683
15_Sicot_5,0.435569382,67.16081589,18.90465546,1998.93103,94.87322998
15_Sicot_5,1.836116987,74.39405813,18.99001694,1999.083496,94.89554596
15_Sicot_5,5.059040563,132.3960184,19.02619362,1999.682373,94.89865875
15_Sicot_5,8.048960861,196.6489832,19.07316017,1998.868164,94.90213013
15_Sicot_5,10.51118463,272.1595277,19.12150002,2000.377319,94.90097046
15_Sicot_5,13.35017158,494.9682502,19.14991188,2000.016357,94.89823151
15_Sicot_5,13.38226586,748.8928591,19.24173546,1999.015259,94.89610291
15_Sicot_5,13.46726616,1043.043245,19.32605362,1998.771362,94.89266968
15_Sicot_5,13.81739329,1430.314011,19.39938736,2000.146851,94.88776398
20_Sicot_1,-2.719931753,21.36239848,21.95501328,1999.151611,94.32574463
20_Sicot_1,0.370972907,46.57388603,21.97722626,2000.107422,94.33322906
20_Sicot_1,3.412442599,77.35641581,21.90561676,2000.42041,94.32653809
20_Sicot_1,9.223368739,143.7527324,21.78721046,2000.77124,94.31167603
20_Sicot_1,14.01900969,216.437429,21.7229538,2000.886597,94.31043243
20_Sicot_1,17.1258983,298.426648,21.68904877,2000.592773,94.31639099
20_Sicot_1,19.02624201,532.1832421,21.71909904,2000.172607,94.31149292
20_Sicot_1,19.39919511,769.6652375,21.81680489,1999.963623,94.302742
20_Sicot_1,20.38687929,1045.522788,22.0933094,1999.322998,94.30757904
20_Sicot_1,21.87410992,1408.071241,22.31704521,1999.114258,94.31686401
20_Sicot_2,-2.498101482,25.95050229,21.46740341,1999.006714,95.25904846
20_Sicot_2,-0.084065873,49.61304178,21.66968346,2000.862915,95.26828003
20_Sicot_2,2.704968431,78.69740943,21.44737816,2001.089722,95.26937866
20_Sicot_2,7.763903691,141.9584383,21.31703568,1999.503052,95.26914215
20_Sicot_2,12.7450797,209.8146585,21.60461998,1999.367676,95.27309418
20_Sicot_2,16.65705507,282.9492363,21.57405472,2001.168213,95.27161407
20_Sicot_2,21.29317369,481.8231029,21.47639847,2001.282227,95.26906586
20_Sicot_2,21.7617833,679.6002614,21.47951889,2000.717896,95.26384735
20_Sicot_2,22.6796707,890.1112905,21.48428535,1999.469849,95.25694275
20_Sicot_2,24.05053821,1143.830543,21.7815876,1998.692993,95.25779724
20_Sicot_3,-2.360829184,33.24220383,25.7353878,1999.276978,95.28836823
20_Sicot_3,-0.043928371,48.96978956,25.69614792,1999.746216,95.28856659
20_Sicot_3,2.903777982,67.89104387,25.36425591,1999.483154,95.2844162
20_Sicot_3,8.649108161,109.9642265,25.65038681,1999.35791,95.27909088
20_Sicot_3,14.03171423,160.7245666,25.61184692,1999.036621,95.27622223
20_Sicot_3,18.54769686,215.7959355,25.61206627,1999.152466,95.27683258
20_Sicot_3,22.43789998,1047.464222,26.17687225,1998.663574,95.26902008
20_Sicot_3,23.5367704,775.820163,25.08994293,1999.392944,95.27217102
20_Sicot_3,23.99132169,540.4469945,25.87309647,1998.772339,95.26911163
20_Sicot_3,25.15416771,380.67606,25.63196373,1999.085815,95.27189636
20_Sicot_4,-2.334393983,33.32203892,23.49514389,2000.366089,95.26429749
20_Sicot_4,0.017097876,48.69281426,23.39706039,2000.401611,95.26399994
20_Sicot_4,2.793683339,72.29624093,23.30610085,1998.838867,95.26761627
20_Sicot_4,8.844045492,123.1159208,23.2766552,1999.373169,95.26622009
20_Sicot_4,14.82472826,180.2998858,23.23070145,2000.351563,95.26385498
20_Sicot_4,20.07665704,243.7709545,23.20586586,1998.926636,95.26268005
20_Sicot_4,26.02419319,433.0510935,23.33232117,1998.896973,95.26377106
20_Sicot_4,26.82896503,549.7829278,23.75504112,2000.146484,95.25387573
20_Sicot_4,27.10320549,617.9552706,24.00470924,2000.496704,95.25414276
20_Sicot_4,28.37190904,732.9798475,24.23164368,2000.020264,95.24640656
20_Sicot_5,-1.630358963,35.72447003,23.52238655,1999.579956,94.92510986
20_Sicot_5,-0.022138865,49.29637166,23.49091911,1999.090088,94.91684723
20_Sicot_5,1.715128138,70.68009192,23.44672966,2000.236938,94.91566467
20_Sicot_5,5.358476057,118.9821254,23.44072533,2000.163452,94.91144562
20_Sicot_5,9.288670851,174.0657159,23.42387772,1999.492554,94.90815735
20_Sicot_5,13.41642789,238.1355896,23.38405228,1999.48938,94.90496826
20_Sicot_5,19.68699758,437.566176,23.33438301,1999.325684,94.90441895
20_Sicot_5,20.0416238,699.2592919,23.33758926,1999.019531,94.896492
20_Sicot_5,20.34920722,996.7561066,23.42704201,2000.250122,94.90052032
20_Sicot_5,20.84559992,1385.421134,23.50728989,1999.287476,94.89559174
25_Sicot_1,-3.777973216,23.84757093,26.81198883,1998.9646,94.31307983
25_Sicot_1,-0.37867188,50.15869628,26.31870842,2001.008667,94.30345154
25_Sicot_1,2.967212937,80.81177194,26.12750435,2000.085327,94.30223846
25_Sicot_1,9.095539394,144.7800371,25.91867638,2000.053711,94.29866791
25_Sicot_1,14.29049848,214.6927264,25.71637344,1999.492065,94.29602814
25_Sicot_1,18.25336851,291.7966968,25.59204483,2000.044189,94.29052734
25_Sicot_1,22.37118156,514.2658207,25.45922661,2000.680664,94.3089447
25_Sicot_1,23.82077971,749.3248943,25.92065811,1998.793457,94.29493713
25_Sicot_1,24.87970498,1038.227557,26.31474495,2000.957642,94.29486847
25_Sicot_1,25.74050247,1413.533138,26.06359673,2000.893311,94.29663849
25_Sicot_2,-3.097582317,32.72691736,26.46126556,1999.468994,95.27047729
25_Sicot_2,-0.728394083,54.35233989,26.62896729,1999.639771,95.27375793
25_Sicot_2,2.958042238,73.98075955,26.47607231,2001.238647,95.27794647
25_Sicot_2,8.287683164,134.8689915,26.25759506,2001.018799,95.2710495
25_Sicot_2,12.39092727,206.5731516,26.51206779,1999.978638,95.27265167
25_Sicot_2,16.843932,279.5712973,26.42984962,2000.789917,95.27209473
25_Sicot_2,25.29168745,460.4069471,26.35799599,2000.492676,95.2703476
25_Sicot_2,26.83223729,664.0421635,26.36864281,1999.989868,95.26845551
25_Sicot_2,29.57421716,858.8800591,26.43965149,2000.526733,95.26495361
25_Sicot_2,31.43909428,1139.539834,26.47393799,2000.802002,95.26042938
25_Sicot_3,-3.578787427,35.99986627,28.00914955,1999.556885,95.22332764
25_Sicot_3,-0.521903325,52.96481795,28.68458748,1998.914063,95.21590424
25_Sicot_3,2.797538488,73.98648201,27.87026596,1999.132324,95.21395874
25_Sicot_3,9.465260137,123.9111802,27.93995667,1999.216919,95.20883942
25_Sicot_3,15.35398881,170.5444263,28.48562813,1998.709595,95.20744324
25_Sicot_3,20.10902096,237.6385595,27.85704422,1999.827393,95.20426178
25_Sicot_3,27.47756577,403.7545066,27.98183632,1999.571289,95.20807648
25_Sicot_3,29.2840698,562.2511892,28.91741371,1999.171143,95.20219421
25_Sicot_3,28.54343197,774.7955048,29.01460648,1999.158936,95.19843292
25_Sicot_3,26.79699929,1135.221892,28.30120659,1999.086426,95.19969177
25_Sicot_4,-3.979621432,29.32224941,27.56166649,1999.270508,95.22486877
25_Sicot_4,-0.493220094,51.29751039,27.4754715,2000.271362,95.21990967
25_Sicot_4,3.216637927,78.74233031,27.45979881,1999.897217,95.2165451
25_Sicot_4,10.68461523,136.1752818,27.36933327,1999.296143,95.2137146
25_Sicot_4,17.3784749,199.060998,27.40444756,1999.422729,95.21083069
25_Sicot_4,22.90898529,266.7809358,27.42816925,1999.76123,95.20565033
25_Sicot_4,29.31512868,463.4989494,27.52172852,1999.288818,95.20163727
25_Sicot_4,32.77951091,634.905796,27.87797928,1998.88855,95.19682312
25_Sicot_4,33.1367694,832.8229372,28.37474632,1998.911499,95.19189453
25_Sicot_4,34.36880912,1089.018707,28.71145439,2000.045532,95.18592834
25_Sicot_5,-2.254495963,37.17706148,27.80087471,2000.113403,94.87471771
25_Sicot_5,-0.34170697,52.98438666,27.64471626,2000.781738,94.87264252
25_Sicot_5,1.783383116,77.28165002,27.51831055,2001.234619,94.86698914
25_Sicot_5,6.288112096,132.4986669,27.44982147,1999.307861,94.86480713
25_Sicot_5,11.10116865,194.7785574,27.42173958,2000.600586,94.86155701
25_Sicot_5,15.80546946,263.9881844,27.40489388,2000.064575,94.85811615
25_Sicot_5,22.71185249,463.4634686,27.43970871,1999.418213,94.85555267
25_Sicot_5,24.693745,683.9765726,27.512146,1999.480225,94.84796906
25_Sicot_5,25.83199048,943.7816309,27.64629173,1999.088013,94.84534454
25_Sicot_5,26.43871349,1293.984443,27.74039078,1998.675903,94.84375763
30_Sicot_1,-4.269287205,29.4098919,29.82150078,2001.125488,94.33068085
30_Sicot_1,-0.893609976,52.75542551,29.48419952,2000.108643,94.32985687
30_Sicot_1,2.48924202,83.16942311,29.40824318,1999.980103,94.31968689
30_Sicot_1,9.165074067,146.5624459,29.50654984,1999.486938,94.33170319
30_Sicot_1,14.72739169,212.5956704,29.53469467,1999.926636,94.32242584
30_Sicot_1,19.10206265,278.4107522,29.94966125,1999.31897,94.33195496
30_Sicot_1,25.55350858,465.4960146,30.29545021,2000.834717,94.3297348
30_Sicot_1,28.34310817,649.6875506,30.46075249,2000.209229,94.34114838
30_Sicot_1,29.07886667,876.6714672,30.67596054,2000.800659,94.33627319
30_Sicot_1,30.08076865,1162.334207,30.89628601,1999.83606,94.33256531
30_Sicot_2,-5.090611406,28.93343269,31.23307991,2000.760498,95.2110672
30_Sicot_2,-1.366041797,55.34204547,30.89812279,2000.698242,95.21437836
30_Sicot_2,1.888585201,86.17474507,30.93275642,1998.693726,95.21181488
30_Sicot_2,7.828136972,148.8761074,31.23033905,1999.701172,95.21930695
30_Sicot_2,13.64616446,211.2732917,31.07155228,2000.85083,95.22351074
30_Sicot_2,18.68736989,275.3760446,30.96084404,1999.276367,95.22190857
30_Sicot_2,28.11202812,462.6329258,31.20957947,1999.084839,95.2165451
30_Sicot_2,31.94935397,672.7813174,31.27609253,2000.743896,95.21608734
30_Sicot_2,33.43008068,927.243093,31.08184052,2000.971191,95.2048111
30_Sicot_2,34.57507547,1268.683579,31.30120087,1999.187988,95.19796753
30_Sicot_3,-4.161784294,60.11778954,31.91843987,2001.258545,95.13176727
30_Sicot_3,-1.590035824,69.61896682,32.49081802,2000.268188,95.12966919
30_Sicot_3,1.043049878,81.3671185,32.40229797,2000.560669,95.12419128
30_Sicot_3,6.525795607,117.2142361,32.25163651,2001.153687,95.1142807
30_Sicot_3,11.62299004,155.8678403,32.20982361,2000.046509,95.11898804
30_Sicot_3,15.27213129,194.5109042,32.22302246,2000.795898,95.11603546
30_Sicot_3,20.76222706,304.4071467,32.3087616,2000.553223,95.11309814
30_Sicot_3,21.7523203,413.0228655,32.45212555,2000.537598,95.10848999
30_Sicot_3,22.49207059,595.762539,31.81853104,1999.809082,95.10447693
30_Sicot_3,23.05214038,807.7815695,32.73890686,1998.638428,95.0973053
30_Sicot_4,-4.381658366,39.89213678,33.1997757,1953.669067,95.11780548
30_Sicot_4,-1.37698524,58.8226517,32.99141693,1963.40625,95.1115799
30_Sicot_4,1.865616583,81.06281997,32.41732025,1973.072266,95.10584259
30_Sicot_4,8.763264098,130.2442127,31.96003532,1977.362183,95.10212708
30_Sicot_4,16.18345601,185.1654254,31.64020157,1980.446899,95.09511566
30_Sicot_4,23.02923398,244.8313077,31.45721436,1982.019287,95.08468628
30_Sicot_4,34.21079858,410.6700462,31.80301094,1965.532715,95.07225037
30_Sicot_4,39.13658359,593.9200097,32.37903214,1964.250488,95.06974792
30_Sicot_4,39.78426463,778.496354,32.24758911,1972.938721,95.06472015
30_Sicot_4,40.78265277,1022.998469,32.28016663,1977.031616,95.06109619
30_Sicot_5,-3.233371249,42.8760432,32.58858109,2000.986816,94.80695343
30_Sicot_5,-0.948519,57.42706001,31.82978439,2001.204468,94.8035965
30_Sicot_5,1.683173236,81.73296082,31.49545097,2000.728516,94.80118561
30_Sicot_5,7.496959575,138.3151827,31.55248451,1999.459717,94.79482269
30_Sicot_5,14.06904122,203.3589272,31.66012192,2000.658936,94.79940033
30_Sicot_5,20.0133607,268.4913845,31.55333138,1999.540161,94.79782104
30_Sicot_5,29.12703888,445.6453971,31.71171761,1999.564819,94.79753113
30_Sicot_5,33.01493564,618.7613313,32.05802155,1998.825195,94.79257202
30_Sicot_5,34.20807246,769.3252414,32.14241791,2001.180908,94.78530884
30_Sicot_5,35.27278946,970.6985114,31.89707565,2000.447144,94.78031158
35_Sicot_1,-4.936736277,38.37288999,34.16868591,2001.279297,94.31568146
35_Sicot_1,-1.772404113,59.7896618,33.89941788,1998.790161,94.30081177
35_Sicot_1,1.189423729,88.70161913,34.06010437,2001.146606,94.30969238
35_Sicot_1,6.823264248,146.509551,33.5956192,2000.885498,94.31634521
35_Sicot_1,10.96485685,206.4138753,34.33344269,1998.810669,94.30013275
35_Sicot_1,13.9931019,245.5642678,34.83984375,2001.209961,94.3037262
35_Sicot_1,19.25235893,372.1303486,34.59241104,2000.869751,94.31438446
35_Sicot_1,21.16252465,499.8144922,34.77774048,1999.152832,94.30951691
35_Sicot_1,21.79030086,742.999147,34.84621048,2000.435303,94.31556702
35_Sicot_1,23.06841751,669.4777005,35.42015076,2000.004761,94.31735229
35_Sicot_2,-5.551558191,32.33674751,36.19405365,1998.831543,95.18431091
35_Sicot_2,-2.482097008,58.29079192,36.03768921,2001.278564,95.17536926
35_Sicot_2,0.856507444,91.17714906,35.57233047,2001.095825,95.16551208
35_Sicot_2,6.76141616,155.41623,35.76767731,1998.802002,95.15995789
35_Sicot_2,12.28267248,219.815389,35.84077835,1998.805908,95.15511322
35_Sicot_2,16.65731959,279.6606654,35.93733215,2001.167847,95.15549469
35_Sicot_2,25.51066077,425.5506026,35.6154747,2000.047729,95.13990784
35_Sicot_2,31.51327995,587.8902624,35.75411606,1999.2229,95.14932251
35_Sicot_2,35.79320914,819.1673309,36.01903534,1999.238037,95.14086914
35_Sicot_2,37.61070711,1124.928796,35.82468796,2001.337402,95.14906311
35_Sicot_3,-5.150252682,59.63249595,34.4136467,2000.561035,95.0456543
35_Sicot_3,-2.352788098,66.42420342,34.34104919,1998.829712,95.03586578
35_Sicot_3,1.338197965,85.42664991,34.49116898,2001.282715,95.0382843
35_Sicot_3,8.619575006,128.0143868,34.194561,2001.323364,95.03559875
35_Sicot_3,13.919814,159.4456754,34.74185562,1998.942139,95.03321075
35_Sicot_3,14.59331985,168.3044661,35.66156387,2001.558472,95.04019165
35_Sicot_3,15.83382234,192.8104676,36.21595764,1999.495239,95.03689575
35_Sicot_3,17.76188011,223.5424931,36.98256302,1999.906372,95.03092194
35_Sicot_3,22.45119048,274.8931977,37.11425018,2001.110229,95.02897644
35_Sicot_3,28.57052073,364.8217205,37.17858505,1999.707031,95.02931976
35_Sicot_4,-3.897641354,51.95643046,35.92899323,1957.931274,94.99858093
35_Sicot_4,-1.578883283,61.83797327,34.97308731,1961.831177,94.98902893
35_Sicot_4,1.179006073,85.84225913,35.4500618,1941.043335,94.99195862
35_Sicot_4,7.677543921,134.0507507,35.07116699,1955.609131,94.98765564
35_Sicot_4,12.96033384,177.9036079,35.10250854,1953.979248,94.98458862
35_Sicot_4,17.42292937,220.4240213,35.57764435,1944.657104,94.98206329
35_Sicot_4,25.90782437,318.4914976,36.22939301,1941.876831,94.97544098
35_Sicot_4,26.39536112,353.939953,36.26226807,1952.987793,94.96887207
35_Sicot_4,33.43165714,421.9917353,36.10722351,1956.977051,94.97039795
35_Sicot_4,42.81941322,666.682926,35.73777008,1962.651855,94.96575928
35_Sicot_5,-5.169221806,32.94507039,36.29143524,2000.780396,94.75174713
35_Sicot_5,-1.805493621,57.83896998,36.0262413,1999.354004,94.74703217
35_Sicot_5,1.096799721,87.99247028,36.22052002,1999.62439,94.74552155
35_Sicot_5,6.89503673,150.9459659,36.13370514,2000.124634,94.74316406
35_Sicot_5,12.90411034,213.3105344,35.93386078,1999.830322,94.74390411
35_Sicot_5,18.48673379,274.3012546,35.82959366,2000.878784,94.73831177
35_Sicot_5,28.73432244,438.270876,36.12997818,1998.975464,94.73872375
35_Sicot_5,33.20972569,583.8039145,36.7196312,2000.515869,94.74519348
35_Sicot_5,34.28051068,714.3061209,37.24999619,2000.336182,94.74042511
35_Sicot_5,35.86904852,868.3473261,37.47497177,2000.445313,94.74504852
40_Sicot_1,-3.833794954,51.02207087,40.746521,2000.664307,94.33195496
40_Sicot_1,-2.312371252,79.86488862,40.69094467,2001.206909,94.32854462
40_Sicot_1,-0.890617139,114.7623723,40.87277985,2000.561157,94.33141327
40_Sicot_1,0.710913444,159.1899812,40.88992691,2001.183472,94.34076691
40_Sicot_1,2.050301713,194.0660071,40.78089142,2000.240234,94.34078979
40_Sicot_1,3.372685286,230.9678893,40.69797516,2000.876099,94.34135437
40_Sicot_1,6.878369726,327.5908716,40.62107086,2000.142578,94.34356689
40_Sicot_1,10.46884793,429.0941918,40.59078217,2000.761108,94.34765625
40_Sicot_1,14.16189447,569.3036113,40.51984024,2000.2771,94.35437012
40_Sicot_1,18.02559513,766.7244481,40.45428085,2001.163086,94.36267853
40_Sicot_2,-5.133643545,46.50924658,39.84698868,1999.423218,95.07202148
40_Sicot_2,-2.692289542,64.97140376,39.77161789,2001.078857,95.0789566
40_Sicot_2,-0.303988152,93.67542884,39.50161743,1999.566406,95.0734024
40_Sicot_2,4.398874868,153.1786367,39.66311646,1999.070923,95.0734787
40_Sicot_2,8.72135521,209.3889263,39.91791153,1999.500366,95.07559204
40_Sicot_2,10.99345428,244.9278591,39.7637558,2000.089722,95.07832336
40_Sicot_2,16.04505395,350.1338559,39.92485046,1998.81311,95.07195282
40_Sicot_2,21.5595948,464.6096745,40.12779236,2000.211548,95.06918335
40_Sicot_2,27.00606767,606.176823,39.87473297,2000.608032,95.06156158
40_Sicot_2,33.0698549,827.2289663,39.88796234,1999.082153,95.05757904
40_Sicot_3,-6.229596799,73.65047336,40.53878784,1999.265625,94.98863983
40_Sicot_3,-3.567832759,82.79270248,40.3898468,1998.969727,94.98616791
40_Sicot_3,0.056436199,92.38834014,40.2136116,1998.631348,94.98633575
40_Sicot_3,5.824983849,139.8465265,39.8596077,1999.578125,94.98336792
40_Sicot_3,11.65963125,184.4657694,39.97237015,1999.350708,94.98501587
40_Sicot_3,17.28599625,227.1184058,40.02608109,1998.709106,94.98844147
40_Sicot_3,28.57044491,323.0751158,40.27550888,1999.939453,94.98725891
40_Sicot_3,35.2404699,412.8746305,40.39950562,1999.963867,94.98674774
40_Sicot_3,42.50262301,517.0766088,40.67277527,1999.785522,94.98889923
40_Sicot_3,49.64785965,680.205675,40.96640396,2000.671143,94.98981476
40_Sicot_4,-4.329407717,50.57340959,39.56067657,1910.316406,94.92565918
40_Sicot_4,-2.536633088,62.28136609,39.32110214,1894.418945,94.93018341
40_Sicot_4,0.093283875,92.47872263,39.43865204,1889.62854,94.91238403
40_Sicot_4,5.254532115,151.0610123,39.6696434,1892.557007,94.91988373
40_Sicot_4,8.932237204,192.7592732,39.52188492,1905.227173,94.91337585
40_Sicot_4,12.7868404,232.6808427,39.68922806,1902.531616,94.91236877
40_Sicot_4,22.58293366,338.3011184,39.68683243,1906.265625,94.91209412
40_Sicot_4,31.36026124,446.2557333,39.62584686,1910.255737,94.9185257
40_Sicot_4,41.29122319,652.9039836,39.70968246,1905.046753,94.91016388
40_Sicot_4,46.31131991,1000.010107,40.02923584,1896.001465,94.90279388
40_Sicot_5,-4.743982455,33.02478273,39.36562729,2000.957153,94.72061157
40_Sicot_5,-2.05866648,59.62770783,38.75469589,1998.581055,94.70992279
40_Sicot_5,-0.146440321,93.78655552,38.9499855,1999.254883,94.70359039
40_Sicot_5,3.854057837,163.9060995,38.98040009,2000.641846,94.70262909
40_Sicot_5,8.486761344,229.5136672,38.76011658,2000.246582,94.70760345
40_Sicot_5,13.33598247,290.5511879,38.69342041,1999.547119,94.7013855
40_Sicot_5,22.56116043,455.9235198,38.93375397,2000.883057,94.7036438
40_Sicot_5,28.93156096,614.1358087,39.04849243,2000.269409,94.70036316
40_Sicot_5,32.79701025,815.4353445,39.20667267,2000.316406,94.68981934
40_Sicot_5,35.12480705,1130.319016,39.57225418,1999.253784,94.70090485
